Level1 = Aday
Level2 = Seçilmiş Başkan
Level3 = Sembolik Lider
Level4 = Meclis Başkanı
Level5 = Başrahip
Level6 = Kıdemli Devlet Adamı
Level7 = Devrim Önderi
Level8 = Şansölye
Level9 = El Presidente
Level10 = Generalissimo
Level11 = Yüce Önder
Level12 = Baş Yargıç
Level13 = İmparator Adayı
Level14 = Ebedî Önder
Level15 = Yüce Şansölye
Level16 = Şanlı Önder
Level17 = Mareşal
Level18 = Büyük Diktatör
Level19 = Fiilî Hükümdar
Level20 = Ömür Boyu Başkan Ekselansları
Level21 = Büyük Önder
Level22 = Genel Sekreter
Level23 = Anayasal Hükümdar
Level24 = Parti Başkanı
Level25 = Sultan
Level26 = Kabile Reisi
Level27 = Yüce Hükümranlık
Level28 = Başkomutan
Level29 = Büyük Amiral
Level30 = Şogun
Level31 = İmparator
Level32 = Çar
Level33 = Hayvancılık Beyi
Level34 = Tecrübeli Çiftçi
Level35 = Yetenekli Çiftçi
Level36 = Yeşil Kurdeleli Çiftçi
Level37 = Becerikli Çiftçi
Level38 = Büyük Çiftçi
Level39 = Akıllı Çiftçi
Level40 = Örnek Çiftçi
Level41 = Tutumlu Çiftçi
Level42 = Parlak Çiftçi
Level43 = Usta Eller
Level44 = Sofistike Çiftçi
Level45 = Başarılı Çiftçi
Level46 = Dâhiyane Çiftçi
Level47 = Ünlü Çiftçi
Level48 = Uzman Çiftçi
Level49 = Dâhi Çiftçi
Level50 = Birinci Lig Çiftçi
Level51 = Usta Çiftçi
Level52 = Büyük Usta Çiftçi
Level53 = Tarım Otoritesi
Level54 = Sarı Kurdeleli Çiftçi
Level55 = Nakit Mahsul Ağası
Level56 = Hakiki Usta
Level57 = Toprağın Efendisi
Level58 = Tarlasaurus Rex
Level59 = Beyaz Kurdeleli Çiftçi
Level60 = Bi Tarla Alabilir Miyim?!
Level61 = Kim Bu Çiftçi Dayı??
Level62 = Eğitimli Çiftçi
Level63 = Kırmızı Kurdeleli Çiftçi
Level64 = Saman Yuvarlayıcı
Level65 = Tarım Virtüözü
Level66 = Mavi Kurdeleli Çiftçi
Level67 = Mor Kurdeleli Çiftçi
Level68 = İlçe Fuarı Şampiyonu
Level69 = İl Fuarı Şampiyonu
Level70 = Dünya Fuarı Şampiyonu
